State,City,Population,Black,American Indian/Alaskan Native,Asian,Native Hawaiian / Pacific Islander,Hispanic/Latino,White,Other,Two or More
 Alabama,Haleyville,4068.0,27.0,7.0,8.0,16.0,339.0,3646.0,0.0,62.0
 Alabama,Haleburg,96.0,7.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0
 Alabama,Hackneyville,381.0,0.0,0.0,0.0,0.0,0.0,381.0,0.0,0.0
 Alabama,Hackleburg,1444.0,0.0,33.0,3.0,0.0,10.0,1398.0,0.0,0.0
 Alabama,Gu-Win,126.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0
 Alabama,Gurley,691.0,49.0,3.0,0.0,0.0,19.0,612.0,3.0,8.0
 Alabama,Guntersville,8326.0,972.0,24.0,95.0,10.0,282.0,6781.0,85.0,170.0
 Alabama,Gulf Shores,10703.0,3.0,48.0,250.0,0.0,315.0,9536.0,12.0,539.0
 Alabama,Harpersville,1711.0,409.0,154.0,0.0,0.0,5.0,1099.0,0.0,44.0
 Alabama,Gulfcrest,207.0,51.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0
 Alabama,Grove Hill,1716.0,940.0,0.0,0.0,0.0,5.0,767.0,0.0,4.0
 Alabama,Elmore,1671.0,478.0,0.0,0.0,0.0,368.0,822.0,252.0,3.0
 Alabama,Emelle,38.0,23.0,0.0,3.0,0.0,0.0,12.0,0.0,0.0
 Alabama,Emerald Mountain,2895.0,387.0,0.0,0.0,0.0,41.0,2346.0,51.0,70.0
 Alabama,Enterprise,27785.0,5992.0,75.0,413.0,0.0,2352.0,18279.0,233.0,804.0
 Alabama,Epes,137.0,125.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
 Alabama,Grimes,570.0,178.0,0.0,6.0,0.0,38.0,335.0,0.0,13.0
 Alabama,Greenville,7912.0,4507.0,0.0,81.0,0.0,55.0,3186.0,0.0,120.0
 Alabama,Greensboro,2485.0,1604.0,3.0,5.0,0.0,0.0,863.0,0.0,10.0
 Alabama,Graysville,2149.0,433.0,0.0,9.0,0.0,0.0,1707.0,0.0,0.0
 Alabama,Grayson Valley,5160.0,1552.0,0.0,33.0,0.0,191.0,3449.0,14.0,36.0
 Alabama,Guin,2351.0,191.0,0.0,0.0,0.0,6.0,2095.0,0.0,59.0
 Alabama,Hartford,2645.0,593.0,6.0,0.0,0.0,248.0,1783.0,112.0,15.0
 Alabama,Hartselle,14455.0,1196.0,47.0,12.0,0.0,246.0,12751.0,0.0,221.0
 Alabama,Harvest,5226.0,1252.0,0.0,33.0,0.0,208.0,3679.0,6.0,105.0
 Alabama,Hoover,83547.0,13434.0,242.0,4390.0,27.0,5027.0,59146.0,3021.0,1363.0
 Alabama,Homewood,25535.0,4111.0,17.0,631.0,3.0,1358.0,19341.0,368.0,174.0
 Alabama,Holtville,4263.0,370.0,37.0,0.0,0.0,51.0,3755.0,0.0,50.0
 Alabama,Holt,3652.0,2036.0,8.0,0.0,0.0,529.0,1070.0,193.0,9.0
 Alabama,Hollywood,971.0,184.0,8.0,0.0,0.0,30.0,737.0,6.0,10.0
 Alabama,Holly Pond,1084.0,7.0,26.0,0.0,0.0,110.0,940.0,0.0,1.0
 Alabama,Hollis Crossroads,714.0,0.0,0.0,0.0,0.0,56.0,658.0,50.0,6.0
 Alabama,Hollins,930.0,57.0,0.0,0.0,0.0,0.0,873.0,0.0,0.0
 Alabama,Hokes Bluff,4314.0,0.0,0.0,0.0,0.0,96.0,4195.0,64.0,23.0
 Alabama,Hodges,308.0,0.0,0.0,0.0,0.0,0.0,308.0,0.0,0.0
 Alabama,Hobson City,998.0,873.0,0.0,0.0,0.0,0.0,98.0,2.0,25.0
 Alabama,Hobson,77.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0
 Alabama,Hissop,772.0,563.0,0.0,0.0,0.0,0.0,169.0,0.0,40.0
 Alabama,Hillsboro,562.0,392.0,8.0,0.0,0.0,44.0,114.0,0.0,4.0
 Alabama,Highland Lakes,4864.0,547.0,0.0,329.0,0.0,39.0,3807.0,0.0,142.0
 Alabama,Highland Lake,393.0,0.0,0.0,2.0,0.0,9.0,379.0,0.0,3.0
 Alabama,Henagar,2253.0,0.0,35.0,15.0,0.0,100.0,2032.0,54.0,88.0
 Alabama,Helena,17589.0,2356.0,63.0,362.0,0.0,204.0,14134.0,236.0,289.0
 Alabama,Heflin,3504.0,317.0,0.0,11.0,0.0,106.0,2929.0,6.0,158.0
 Alabama,Heath,338.0,33.0,0.0,0.0,0.0,2.0,295.0,0.0,8.0
 Alabama,Headland,4685.0,1416.0,0.0,0.0,0.0,17.0,3244.0,17.0,8.0
